SampleID,Cq_SAMP_B2M,Cq_SAMP_Tel,RTL_PU_CAL,RTL_resp_CAL,RTL_No_CAL,RTL_NO_CAL_Corrected,Plate,ExtrMethod
1,26.57578608,14.23883894,1.224725621,1.224725621,0.000454985,1.565233324,Puregene 1,PU
1,NA,NA,NA,NA,NA,NA,Puregene 1,PU
1,NA,NA,NA,NA,NA,NA,Puregene 1,PU
1,26.60620574,14.57792711,1.307495087,1.307495087,0.000501328,1.287293301,Puregene 2,PU
1,NA,NA,NA,NA,NA,NA,Puregene 2,PU
1,NA,NA,NA,NA,NA,NA,Puregene 2,PU
1,26.68012115,14.38734352,1.525100452,1.525100452,0.000437137,1.520746697,Puregene 3,PU
1,NA,NA,NA,NA,NA,NA,Puregene 3,PU
1,NA,NA,NA,NA,NA,NA,Puregene 3,PU
1,26.58449364,14.81019589,1.315072365,1.315072365,0.00058272,1.095550595,Puregene 4,PU
1,NA,NA,NA,NA,NA,NA,Puregene 4,PU
1,NA,NA,NA,NA,NA,NA,Puregene 4,PU
1,26.33056915,14.36004091,1.110777158,1.462507537,0.000464444,1.235262387,SpinColumn 1,SC
1,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
1,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
1,26.19894889,14.79943106,1.072628912,1.317326485,0.000600273,0.865866341,SpinColumn 2,SC
1,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
1,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
1,26.25638987,14.57891902,1.108409045,1.28,0.000513491,1.027777004,SpinColumn 3,SC
1,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
1,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
1,26.36455269,14.81911067,1.119610216,1.42437608,0.000562602,0.94976693,SpinColumn 4,SC
1,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
1,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
1,25.95582056,13.89881942,0.99028938,1.416873912,0.000484548,1.297834936,PlateExtr 1,SP
1,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
1,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
1,25.88607211,14.2036275,1.14773584,1.504,0.000558376,1.025684688,PlateExtr 2,SP
1,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
1,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
1,25.9448169,13.86657657,1.01951248,1.422,0.000472902,1.317199883,PlateExtr 3,SP
1,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
1,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
1,25.96331606,14.16318413,1.267336343,1.493,0.000489979,1.101598126,PlateExtr 4,SP
1,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
1,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
2,26.13323185,13.69134154,1.312279896,1.312279896,0.000424628,1.677130113,Puregene 1,PU
2,NA,NA,NA,NA,NA,NA,Puregene 1,PU
