SampleID,CqSAMP_B2M,CqSAMP_TEL,RTL_resp_CAL,RTL_No_CAL,Plate,ExtrMethod
BW070,25.36200822,12.64816832,1.010340582,1.120000921,20150416_Soay_PGcomparison1,PG
BW070,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BW070,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BW070,25.67056616,12.79221234,0.914726311,1.241506595,20150416_Soay_PGcomparison2,PG
BW070,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BW070,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BW070,25.56880802,12.6780161,0.985589643,1.249837355,20150417_Soay_PGcomparison3,PG
BW070,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW070,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW070,25.6032365,12.97990494,0.874199462,1.050941815,20150417_Soay_PGcomparison4,PG
BW070,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW070,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW070,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW070,25.73208397,13.31201146,0.957071849,0.921724872,20150420_Soay_SCcomparison5,SC
BW070,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW070,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW070,25.64653655,13.3668144,0.93609219,0.844814465,20150420_Soay_SCcomparison6,SC
BW070,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW070,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW070,25.99179331,13.14344457,1.021308999,1.207003999,20150421_Soay_SCcomparison7,SC
BW070,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW070,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BW070,25.89543677,13.50425876,1.027199763,0.904893915,20150421_Soay_SCcomparison8,SC
BW070,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BW537,26.36728652,13.63578914,1.00765397,1.117022711,20150416_Soay_PGcomparison1,PG
BW537,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BW537,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BW537,26.59825069,13.6715217,0.928210519,1.259807956,20150416_Soay_PGcomparison2,PG
BW537,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BW537,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BW537,26.49676819,13.50064174,1.042878315,1.322485776,20150417_Soay_PGcomparison3,PG
BW537,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW537,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW537,26.61084222,13.86486524,0.936943461,1.126371166,20150417_Soay_PGcomparison4,PG
BW537,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW537,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW537,26.34293279,13.63608105,1.148359895,1.105948189,20150420_Soay_SCcomparison5,SC
BW537,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW537,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW537,26.244427,13.77163786,1.058912058,0.955658249,20150420_Soay_SCcomparison6,SC
BW537,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW537,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW537,26.51666443,13.57597959,1.081282133,1.277881476,20150421_Soay_SCcomparison7,SC
BW537,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW537,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
