SampleID,ExtractionDate,ExtractionMethod,Volume,Nanodrop_1,Nanodrop_2,Nanodrop_3,A260A280_1,A260A280_2,A260A280_3,A260A230_1,A260A230_2,A260A230_3,QUBIT,GelName,GelScore
BW070,10/03/2015,SC,200,50,50,NA,1.77,1.71,NA,2.33,2.28,NA,46,20150331_SC-PGcomp1,2
BW537,10/03/2015,SC,200,146,146,NA,1.81,1.8,NA,2.32,2.33,NA,146,20150331_SC-PGcomp1,2
BW542,10/03/2015,SC,200,112,109,NA,1.84,1.81,NA,2.37,2.54,NA,113,20150331_SC-PGcomp1,2
BW543,10/03/2015,SC,200,43,43,NA,1.78,1.75,NA,2.34,2.3,NA,41,20150331_SC-PGcomp1,2
BW063,10/03/2015,SC,200,31,32,NA,1.71,1.71,NA,2.29,2.29,NA,30,20150331_SC-PGcomp1,2
BW026,10/03/2015,SC,200,34,31,NA,1.73,1.67,NA,1.97,2.29,NA,30,20150331_SC-PGcomp1,2
BR036,10/03/2015,SC,200,70,69,NA,1.8,1.78,NA,2.26,2.35,NA,61,20150331_SC-PGcomp1,2
BR057,10/03/2015,SC,200,69,64,NA,1.75,1.79,NA,1.91,1.97,NA,62,20150331_SC-PGcomp1,2
BR501,10/03/2015,SC,200,48,48,NA,1.8,1.71,NA,2.17,2.26,NA,41,20150331_SC-PGcomp2,2
BR184,10/03/2015,SC,200,61,58,NA,1.86,1.81,NA,1.84,1.99,NA,52,20150331_SC-PGcomp2,2
BR568,10/03/2015,SC,200,48,48,NA,1.72,1.77,NA,2.34,2.23,NA,42,20150331_SC-PGcomp2,2
BR572,10/03/2015,SC,200,64,62,NA,1.77,1.77,NA,2.02,2.12,NA,57,20150331_SC-PGcomp2,2
BR578,10/03/2015,SC,200,31,32,NA,1.81,1.68,NA,2.22,1.91,NA,27,20150331_SC-PGcomp2,2
BR583,10/03/2015,SC,200,99,105,NA,1.8,1.82,NA,2.31,2.22,NA,92,20150331_SC-PGcomp2,2
BR589,10/03/2015,SC,200,55,56,NA,1.84,1.78,NA,2.4,2.46,NA,52,20150331_SC-PGcomp2,2
BR594,10/03/2015,SC,200,139,138,NA,1.82,1.85,NA,2.37,2.32,NA,138,20150331_SC-PGcomp2,2
BR598,12/03/2015,SC,200,95,94,NA,1.86,1.87,NA,2.37,2.41,NA,88,2015_SC-PGcomp3,2
BR599,12/03/2015,SC,200,117,115,NA,1.82,1.87,NA,2.43,2.48,NA,99,2015_SC-PGcomp3,2
BO039,12/03/2015,SC,200,144,144,NA,1.88,1.88,NA,2.47,2.45,NA,135,2015_SC-PGcomp3,2
BO204,12/03/2015,SC,200,141,141,NA,1.9,1.86,NA,2.47,2.43,NA,127,2015_SC-PGcomp3,2
BO535,12/03/2015,SC,200,93,94,NA,1.86,1.85,NA,2.48,2.5,NA,78,2015_SC-PGcomp3,2
BO540,12/03/2015,SC,200,147,147,NA,1.87,1.87,NA,2.37,2.34,NA,140,2015_SC-PGcomp3,2
BO543,12/03/2015,SC,200,99,101,NA,1.84,1.84,NA,2.28,2.26,NA,85,2015_SC-PGcomp3,2
BO546,12/03/2015,SC,200,55,58,NA,1.94,1.87,NA,2.57,2.82,NA,46,2015_SC-PGcomp3,2
BO550,12/03/2015,SC,200,76,76,NA,1.9,1.89,NA,2.45,2.41,NA,64,2015_SC-PGcomp3,2
BO532,12/03/2015,SC,200,91,89,NA,1.92,1.88,NA,2.16,2.5,NA,80,2015_SC-PGcomp3,2
BY022,12/03/2015,SC,200,88,93,NA,1.87,1.88,NA,2.29,2.26,NA,79,20150331_SC-PGcomp4,2
BY596,12/03/2015,SC,200,60,59,NA,1.85,1.88,NA,2.31,2.31,NA,48,20150331_SC-PGcomp4,2
AG575,12/03/2015,SC,200,98,99,NA,1.84,1.88,NA,1.96,1.93,NA,79,20150331_SC-PGcomp4,2
AG579,12/03/2015,SC,200,55,56,NA,1.87,1.85,NA,2.53,2.46,NA,42,20150331_SC-PGcomp4,2
AW106,12/03/2015,SC,200,42,42,NA,1.86,1.85,NA,2.24,2.24,NA,33,20150331_SC-PGcomp4,2
