SampleID,ExtractionDate,ExtractionMethod,Volume,Nanodrop_1,Nanodrop_2,Nanodrop_3,A260A280_1,A260A280_2,A260A280_3,A260A230_1,A260A230_2,A260A230_3,QC_NanoDrop,QUBIT_FLUOstar,GEL_NAME,GEL_SCORE,REPURIFIED
1,11.11.2014,SC,100,109.1,111.3,NA,1.9,1.88,NA,2.56,2.5,NA,PASS,105.5,20141217_ExtrComp_SpinColumns…,1,NA
2,11.11.2014,SC,100,117.9,118.2,NA,1.92,1.87,NA,2.67,2.68,NA,PASS,120.5,20141217_ExtrComp_SpinColumns…,1,NA
3,11.11.2014,SC,100,69.3,62.8,NA,1.79,1.86,NA,2.15,2.97,NA,PASS,57,20141217_ExtrComp_SpinColumns…,1,NA
4,11.11.2014,SC,100,132.1,131.4,NA,1.91,1.91,NA,2.74,2.73,NA,PASS,122,20141217_ExtrComp_SpinColumns…,1,NA
5,11.11.2014,SC,100,124.7,124.7,NA,1.88,1.92,NA,2.66,2.68,NA,PASS,118,20141217_ExtrComp_SpinColumns…,1,NA
6,11.11.2014,SC,100,75.1,89.3,NA,1.84,1.83,NA,3.19,1.99,NA,PASS,75,20141217_ExtrComp_SpinColumns…,1,NA
7,11.11.2014,SC,100,70.8,69.2,NA,1.88,1.91,NA,2.73,3,NA,PASS,65.4,20141217_ExtrComp_SpinColumns…,1,NA
8,11.11.2014,SC,100,88.5,89.1,NA,1.85,1.9,NA,2.92,2.87,NA,PASS,85.4,20141217_ExtrComp_SpinColumns…,1,NA
9,11.11.2014,SC,100,83.9,84.1,NA,1.87,1.9,NA,3.17,3.05,NA,PASS,79.6,20141217_ExtrComp_SpinColumns…,1,NA
10,11.11.2014,SC,100,55.6,56.4,NA,1.92,1.86,NA,3.02,2.8,NA,PASS,51.6,20141217_ExtrComp_SpinColumns…,1,NA
11,11.11.2014,SC,100,53.6,54.1,NA,1.84,1.88,NA,2.89,2.84,NA,PASS,47.6,20141217_ExtrComp_SpinColumns…,1,NA
12,11.11.2014,SC,100,81.3,74,NA,1.81,1.87,NA,2.17,2.7,NA,PASS,66.6,20141217_ExtrComp_SpinColumns…,1,NA
13,12.11.2014,SC,100,59.3,59.8,NA,1.86,1.86,NA,3.12,3.05,NA,PASS,53,20141217_ExtrComp_SpinColumns…,1,NA
14,12.11.2014,SC,100,229.7,224.5,NA,1.91,1.9,NA,2.54,2.55,NA,PASS,230,20141217_ExtrComp_SpinColumns…,1,NA
15,12.11.2014,SC,100,99.9,98.2,NA,1.88,1.83,NA,2.81,2.77,NA,PASS,94,20141217_ExtrComp_SpinColumns…,1,NA
16,12.11.2014,SC,100,65.5,65,NA,1.83,1.88,NA,3.05,2.82,NA,PASS,56.8,20141217_ExtrComp_SpinColumns…,1,NA
17,12.11.2014,SC,100,178.6,180.4,NA,1.9,1.89,NA,2.6,2.62,NA,PASS,169.5,20141217_ExtrComp_SpinColumns…,1,NA
18,12.11.2014,SC,100,85.8,84.1,NA,1.86,1.86,NA,2.72,2.86,NA,PASS,80.8,20141217_ExtrComp_SpinColumns…,1,NA
19,12.11.2014,SC,100,203.5,203.5,NA,1.9,1.9,NA,2.6,2.58,NA,PASS,210,20141217_ExtrComp_SpinColumns…,1,NA
20,12.11.2014,SC,100,126.3,124.7,NA,1.87,1.89,NA,2.58,2.62,NA,PASS,115,20141217_ExtrComp_SpinColumns…,1,NA
21,12.11.2014,SC,100,27.4,26.7,NA,1.72,1.8,NA,4.1,4.02,NA,PASS,21.85,20141217_ExtrComp_SpinColumns…,1,NA
22,12.11.2014,SC,100,99.5,97.5,NA,1.86,1.85,NA,2.51,2.62,NA,PASS,94.6,20141217_ExtrComp_SpinColumns…,1,NA
23,12.11.2014,SC,100,347.3,344.8,NA,1.88,1.88,NA,2.42,2.43,NA,PASS,344,20141217_ExtrComp_SpinColumns…,1,NA
24,12.11.2014,SC,100,90.7,76.2,73.9,1.83,1.84,1.85,1.52,2.48,2.75,PASS,68.8,20141217_ExtrComp_SpinColumns…,1,NA
25,12.11.2014,SC,100,95.1,95.7,NA,1.81,1.86,NA,2.95,2.77,NA,PASS,102.5,20141217_ExtrComp_SpinColumns…,1,NA
26,12.11.2014,SC,100,126.4,125.4,NA,1.88,1.9,NA,2.65,2.71,NA,PASS,134,20141217_ExtrComp_SpinColumns…,1,NA
27,12.11.2014,SC,100,259.4,258.4,NA,1.89,1.89,NA,2.49,2.49,NA,PASS,276,20141217_ExtrComp_SpinColumns…,FAIL,NA
28,12.11.2014,SC,100,162.2,161,NA,1.89,1.88,NA,2.58,2.61,NA,PASS,181,20141217_ExtrComp_SpinColumns…,1,NA
29,12.11.2014,SC,100,172.1,172.7,NA,1.88,1.89,NA,2.55,2.58,NA,PASS,190,20141217_ExtrComp_SpinColumns…,1,NA
30,12.11.2014,SC,100,116.9,118.6,NA,1.88,1.88,NA,2.75,2.64,NA,PASS,122.5,20141217_ExtrComp_SpinColumns…,1,NA
31,12.11.2014,SC,100,173.1,172.9,NA,1.9,1.87,NA,2.62,2.59,NA,PASS,184.5,20141217_ExtrComp_SpinColumns…,1,NA
32,12.11.2014,SC,100,219.8,220.6,NA,1.89,1.87,NA,2.56,2.57,NA,PASS,252,20141217_ExtrComp_SpinColumns…,1,NA
33,12.11.2014,SC,100,179.7,183.8,NA,1.86,1.88,NA,2.83,2.61,NA,PASS,199,20141217_ExtrComp_SpinColumns…,1,NA
34,12.11.2014,SC,100,283.9,281.7,NA,1.89,1.89,NA,2.5,2.53,NA,PASS,314,20141217_ExtrComp_SpinColumns…,1,NA
35,12.11.2014,SC,100,126,124.8,NA,1.89,1.87,NA,2.71,2.72,NA,PASS,130,20141217_ExtrComp_SpinColumns…,1,NA
36,12.11.2014,SC,100,85.9,86.4,NA,1.86,1.86,NA,2.98,3,NA,PASS,85.4,20141217_ExtrComp_SpinColumns…,1,NA
37,13.11.2014,SC,100,121,120.6,NA,1.89,1.86,NA,2.76,2.74,NA,PASS,126,20141217_ExtrComp_SpinColumns…,1,NA
38,13.11.2014,SC,100,114.7,112,NA,1.87,1.85,NA,2.89,2.32,NA,PASS,114,20141217_ExtrComp_SpinColumns…,1,NA
39,13.11.2014,SC,100,85.8,86.5,87.9,1.78,1.87,1.85,3.84,2.97,2.98,PASS,168.4,20141217_ExtrComp_SpinColumns…,1,NA
40,13.11.2014,SC,100,176.3,177.9,NA,1.88,1.87,NA,2.61,2.59,NA,PASS,169,20141217_ExtrComp_SpinColumns…,NA,NA
41,13.11.2014,SC,100,105,104.3,NA,1.87,1.87,NA,2.85,2.84,NA,PASS,106,20141217_ExtrComp_SpinColumns…,1,NA
